site_code,stream_order
w1,1
w2,1
w3,1
w4,1
w5,1
w6,1
w7,1
GSWS06,1
GSWS07,1
GSWS08,1
GSMACK,1
WLOU,1
TECR,1
COMO,1
MCRA,1
KING,1
MAYF,1
WALK,1
N20B,1
N01B,1
GFCP,1
GFGL,1
POBR,1
DRKR,1
BARN,1
MCDN,1
MAWI,1
ALBION,1
GREEN4,1
GREEN5,1
GV01,1
MC00,1
ON02,1
SM04,1
CP00,1
SM01,1
BC_SW_4,1
BC_SW_20,1
RedondoMeadow,1
HistoryGrove,1
UpperJaramillo,1
LowerJaramillo,1
UpperLaJara,1
LowerLaJara,1
LaJaraSouthSpring,1
UpperJaramilloSpring,1
LowerRedondo,1
OracleRidge,1
UpperRedondo,1
FLUME_MCZOB,1
weir_3,1
weir_4,1
weir_2,1
WS-2,1
WS-3,1
WS-10,1
WS-13,1
WS-6,1
WS-14,1
ER_EBC1,1
ER_CPR1,1
ER_MMT1,0
ER_GTH1,0
ER_RCK1,0
ER_BRD1,0
ER_RUS1,0
ER_EAQ1,0
ER_QLY1,0
black_earth_creek,0
P300,0
P301,0
P303,0
P304,0
D102,0
B200,0
B201,0
B203,0
B204,0
T003,0
GSCC01,0
GSCC02,0
GSCC03,0
GSCC04,0
WS77,0
WS78,0
WS79,0
WS80,0
east_fork,0
west_fork,0
GRO,0
SCAL,0
SCO,0
SH_weir,0
SCCF,0
WB,0
EB,0
W-3,0
W-5,0
W-9,0
allequash_creek,0
north_creek,0
stevenson_creek,0
trout_river,0
andrews_creek,0
icy_brook,0
the_loch_outlet,0
mountain_creek_tributary,0
CUPE,1
C2,1
C3,1
PJ,1
PC,1
adams_weir,1
aiken_f5,1
anderson_h1,1
canada_f1,1
common_c1,1
crescent_f8,1
delta_f10,1
green_f9,1
harnish_f11,1
harnish_f7,1
house_h2,1
huey_f2,1
santafe_b2,1
priscu_b1,1
lawson_b3,1
Roche_Moutonnee_Creek_Main,1
Q1,1
Q2,1
QG,1
QS,1
RI,1
MPR,1
QT,1
