method,estimate,flow,cq,runid
pw,15.182396497569847,base,dilution,1
beale,NA,base,dilution,1
rating,12.615066426371088,base,dilution,1
composite,13.128309868306365,base,dilution,1
truth,12.462414903805456,base,dilution,1
pw,29.225951838223306,storm,dilution,1
beale,NA,storm,dilution,1
rating,13.716816339397722,storm,dilution,1
composite,16.26477723103251,storm,dilution,1
truth,17.403684110562832,storm,dilution,1
pw,15.91464461942007,unaltered,dilution,1
beale,NA,unaltered,dilution,1
rating,12.672903624747905,unaltered,dilution,1
composite,13.25047045146752,unaltered,dilution,1
truth,13.684523074394617,unaltered,dilution,1
pw,6.105484203242624,base,enrich,1
beale,NA,base,enrich,1
rating,14.173808911057227,base,enrich,1
composite,14.706032429320556,base,enrich,1
truth,13.60244526901535,base,enrich,1
pw,1.2187997539574724,storm,enrich,1
beale,NA,storm,enrich,1
rating,57.41679391985449,storm,enrich,1
composite,58.102505894731536,storm,enrich,1
truth,73.45578468648692,storm,enrich,1
pw,3.887648954834479,unaltered,enrich,1
beale,NA,unaltered,enrich,1
rating,14.219087737756682,unaltered,enrich,1
composite,14.454782322496573,unaltered,enrich,1
truth,13.731214913055817,unaltered,enrich,1
pw,14.238063306227085,base,none,1
beale,NA,base,none,1
rating,15.11552554654251,base,none,1
composite,16.019668478306336,base,none,1
truth,15.82037324608433,base,none,1
pw,6.381254250397398,storm,none,1
beale,NA,storm,none,1
rating,12.720513684325198,storm,none,1
composite,13.802415397435489,storm,none,1
truth,13.767581803350875,storm,none,1
pw,11.36031360977405,unaltered,none,1
beale,NA,unaltered,none,1
rating,12.852560425501279,unaltered,none,1
composite,13.67276767652469,unaltered,none,1
truth,13.550096111473877,unaltered,none,1
pw,13.76166255928817,base,chemostatic,1
beale,NA,base,chemostatic,1
rating,15.425014104159759,base,chemostatic,1
composite,15.291932861881147,base,chemostatic,1
truth,15.80495199296961,base,chemostatic,1
pw,6.167739657442409,storm,chemostatic,1
beale,NA,storm,chemostatic,1
rating,13.175209483608308,storm,chemostatic,1
composite,12.959259301324085,storm,chemostatic,1
truth,13.721150165494894,storm,chemostatic,1
pw,10.980201387152475,unaltered,chemostatic,1
beale,NA,unaltered,chemostatic,1
rating,13.160128870310068,unaltered,chemostatic,1
composite,13.027239117435112,unaltered,chemostatic,1
truth,13.53311798619856,unaltered,chemostatic,1
pw,14.436505369947973,base,dilution,2
beale,NA,base,dilution,2
rating,11.966874050101048,base,dilution,2
composite,12.343635460516394,base,dilution,2
truth,12.326551571509889,base,dilution,2
pw,72.81401226988288,storm,dilution,2
beale,NA,storm,dilution,2
rating,14.125185285714904,storm,dilution,2
composite,45.993518472700686,storm,dilution,2
truth,17.187521581423464,storm,dilution,2
pw,71.88646056374583,unaltered,dilution,2
beale,NA,unaltered,dilution,2
rating,13.736394803436676,unaltered,dilution,2
composite,57.85267499187064,unaltered,dilution,2
truth,13.45077705842556,unaltered,dilution,2
pw,5.989623218331809,base,enrich,2
beale,NA,base,enrich,2
rating,15.30385519422714,base,enrich,2
