method,estimate,flow,cq,runid
pw,14.825001703861732,base,dilution,1
beale,NA,base,dilution,1
rating,13.065074894835455,base,dilution,1
composite,12.712266933431023,base,dilution,1
truth,12.438205638161353,base,dilution,1
pw,25.418923583150164,storm,dilution,1
beale,NA,storm,dilution,1
rating,14.56386277500182,storm,dilution,1
composite,12.729741413586078,storm,dilution,1
truth,17.295697664641203,storm,dilution,1
pw,14.7605096759606,unaltered,dilution,1
beale,NA,unaltered,dilution,1
rating,12.388584713815291,unaltered,dilution,1
composite,12.4612698122503,unaltered,dilution,1
truth,13.345865921552004,unaltered,dilution,1
pw,4.800907621499949,base,enrich,1
beale,NA,base,enrich,1
rating,13.005061617802046,base,enrich,1
composite,13.304517308593404,base,enrich,1
truth,14.494820647179498,base,enrich,1
pw,0.867447996098614,storm,enrich,1
beale,NA,storm,enrich,1
rating,36.33416031767233,storm,enrich,1
composite,36.62682644164562,storm,enrich,1
truth,78.11435275163977,storm,enrich,1
pw,3.3280044763598338,unaltered,enrich,1
beale,NA,unaltered,enrich,1
rating,14.14408952011955,unaltered,enrich,1
composite,14.216603506200803,unaltered,enrich,1
truth,14.002468412240056,unaltered,enrich,1
pw,15.053991822220425,base,none,1
beale,NA,base,none,1
rating,22.376346099120852,base,none,1
composite,22.65939073145787,base,none,1
truth,15.872126262534472,base,none,1
pw,6.345482189063653,storm,none,1
beale,NA,storm,none,1
rating,22.228639750543273,storm,none,1
composite,22.96475552980312,storm,none,1
truth,13.784414821269026,storm,none,1
pw,11.99558953275146,unaltered,none,1
beale,NA,unaltered,none,1
rating,19.418759418429396,unaltered,none,1
composite,19.751924043546175,unaltered,none,1
truth,13.54812959334133,unaltered,none,1
pw,12.560546550972207,base,chemostatic,1
beale,NA,base,chemostatic,1
rating,15.352977150669856,base,chemostatic,1
composite,15.34428600381777,base,chemostatic,1
truth,15.870007627796229,base,chemostatic,1
pw,5.294457799987237,storm,chemostatic,1
beale,NA,storm,chemostatic,1
rating,13.162791901509017,storm,chemostatic,1
composite,13.066382106646472,storm,chemostatic,1
truth,13.788616947837065,storm,chemostatic,1
pw,10.008718120205277,unaltered,chemostatic,1
