Flow Regime,C:Q,Frequency,Method,Mean,SD,95% CI,Median,Minimum,Maximum,Outliers
Baseflow,Chemostatic,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Chemostatic,Weekly,Composite,-0.08,0.98,"-2, 1.84",-0.01,-2.23,1.96,4
Baseflow,Chemostatic,Weekly,Linear Interpolation,-12.17,0.68,"-13.5, -10.84",-12.21,-14.07,-10.6,4
Baseflow,Chemostatic,Weekly,Rating,-0.21,0.92,"-2.01, 1.59",-0.24,-1.95,1.74,0
Baseflow,Chemostatic,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Chemostatic,Biweekly,Composite,-0.07,1.67,"-3.34, 3.2",-0.01,-4.25,3.62,12
Baseflow,Chemostatic,Biweekly,Linear Interpolation,-13.1,1.08,"-15.22, -10.98",-13.1,-16.02,-9.72,2
Baseflow,Chemostatic,Biweekly,Rating,-0.12,1.64,"-3.33, 3.09",-0.09,-4.59,3.95,13
Baseflow,Chemostatic,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Chemostatic,Monthly,Composite,0.33,2.96,"-5.47, 6.13",0.26,-5.1,6.14,0
Baseflow,Chemostatic,Monthly,Linear Interpolation,-18.53,1.53,"-21.53, -15.53",-18.42,-22.59,-14.07,5
Baseflow,Chemostatic,Monthly,Rating,0.27,2.86,"-5.34, 5.88",0.26,-5.23,6.74,1
Baseflow,Diluting,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Diluting,Weekly,Composite,-2.2,2.08,"-6.28, 1.88",-2.4,-6.59,3.54,7
Baseflow,Diluting,Weekly,Linear Interpolation,20,3.56,"13.02, 26.98",20.19,10.59,30.79,6
Baseflow,Diluting,Weekly,Rating,-2.99,1.76,"-6.44, 0.46",-2.95,-6.68,1.68,5
Baseflow,Diluting,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Diluting,Biweekly,Composite,-2.04,2.9,"-7.72, 3.64",-2.31,-7.63,6.41,2
Baseflow,Diluting,Biweekly,Linear Interpolation,15.57,3.42,"8.87, 22.27",15,7.52,24.61,6
Baseflow,Diluting,Biweekly,Rating,-2.72,2.55,"-7.72, 2.28",-2.87,-8.28,4.04,3
Baseflow,Diluting,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Diluting,Monthly,Composite,-0.3,4.85,"-9.81, 9.21",-0.21,-18.15,14.9,5
Baseflow,Diluting,Monthly,Linear Interpolation,12.43,5.13,"2.38, 22.48",12.64,1.56,35.81,2
Baseflow,Diluting,Monthly,Rating,-1.6,4.34,"-10.11, 6.91",-1.4,-14.84,12.61,4
Baseflow,Enriching,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Enriching,Weekly,Composite,-0.49,6.01,"-12.27, 11.29",-0.34,-16.17,16.17,5
Baseflow,Enriching,Weekly,Linear Interpolation,-58.49,3.37,"-65.1, -51.88",-58.13,-68.02,-50.77,5
Baseflow,Enriching,Weekly,Rating,-0.84,6.06,"-12.72, 11.04",-0.72,-17.18,15.78,5
Baseflow,Enriching,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Enriching,Biweekly,Composite,4.28,10.16,"-15.63, 24.19",3.39,-19.17,31.46,8
Baseflow,Enriching,Biweekly,Linear Interpolation,-58.42,3.14,"-64.57, -52.27",-58.43,-68.43,-50.11,5
Baseflow,Enriching,Biweekly,Rating,3.15,10.22,"-16.88, 23.18",2.26,-20.4,31.96,8
Baseflow,Enriching,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,Enriching,Monthly,Composite,-1.35,16.62,"-33.93, 31.23",-4.83,-33.42,56.53,7
Baseflow,Enriching,Monthly,Linear Interpolation,-63.77,4.07,"-71.75, -55.79",-63.72,-73.03,-53.31,13
Baseflow,Enriching,Monthly,Rating,-2.31,17.07,"-35.77, 31.15",-5.86,-36.16,55.92,7
Baseflow,No-Pattern,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,No-Pattern,Weekly,Composite,-0.21,5.48,"-10.95, 10.53",-0.43,-13.52,14.11,9
Baseflow,No-Pattern,Weekly,Linear Interpolation,-11.85,3.08,"-17.89, -5.81",-11.66,-21.48,-3.28,9
Baseflow,No-Pattern,Weekly,Rating,-3.54,5.38,"-14.08, 7",-3.69,-17.41,10.37,7
Baseflow,No-Pattern,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,No-Pattern,Biweekly,Composite,1.18,8.34,"-15.17, 17.53",0.85,-20.24,27.51,7
Baseflow,No-Pattern,Biweekly,Linear Interpolation,-12.87,4.4,"-21.49, -4.25",-13.17,-25.59,1.28,10
Baseflow,No-Pattern,Biweekly,Rating,-1.7,8.34,"-18.05, 14.65",-3.17,-23.59,23.3,9
Baseflow,No-Pattern,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Baseflow,No-Pattern,Monthly,Composite,3.9,16.95,"-29.32, 37.12",-0.19,-28.03,55.32,7
Baseflow,No-Pattern,Monthly,Linear Interpolation,-18.65,5.89,"-30.19, -7.11",-18.8,-31.96,-0.3,7
Baseflow,No-Pattern,Monthly,Rating,1.17,16.41,"-30.99, 33.33",-2.38,-30.2,47.07,5
Stormflow,Chemostatic,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Chemostatic,Weekly,Composite,-0.1,2.02,"-4.06, 3.86",0.02,-4.66,4.27,14
Stormflow,Chemostatic,Weekly,Linear Interpolation,-47.89,0.34,"-48.56, -47.22",-47.88,-48.58,-47.13,0
Stormflow,Chemostatic,Weekly,Rating,-0.28,1.88,"-3.96, 3.4",-0.01,-4.23,4.12,1
Stormflow,Chemostatic,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Chemostatic,Biweekly,Composite,-0.13,3.34,"-6.68, 6.42",0.05,-8.07,6.88,6
Stormflow,Chemostatic,Biweekly,Linear Interpolation,-55.01,0.46,"-55.91, -54.11",-54.98,-56.03,-53.7,4
Stormflow,Chemostatic,Biweekly,Rating,-0.07,3.19,"-6.32, 6.18",-0.24,-8.41,7.06,11
Stormflow,Chemostatic,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Chemostatic,Monthly,Composite,0.62,5.97,"-11.08, 12.32",-0.09,-11.25,15.64,3
Stormflow,Chemostatic,Monthly,Linear Interpolation,-60.54,0.56,"-61.64, -59.44",-60.48,-61.85,-59.01,7
Stormflow,Chemostatic,Monthly,Rating,0.57,5.73,"-10.66, 11.8",0.24,-10.18,15.62,4
Stormflow,Diluting,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Diluting,Weekly,Composite,-25.11,34.11,"-91.97, 41.75",-29.85,-49.58,226.79,6
Stormflow,Diluting,Weekly,Linear Interpolation,108.05,71.44,"-31.97, 248.07",98.35,48.78,539.89,18
Stormflow,Diluting,Weekly,Rating,-27.65,3.24,"-34, -21.3",-27.18,-45.07,-20.75,12
Stormflow,Diluting,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Diluting,Biweekly,Composite,-21.5,47.81,"-115.21, 72.21",-28.57,-79.8,380.51,10
Stormflow,Diluting,Biweekly,Linear Interpolation,78.43,121.27,"-159.26, 316.12",60.76,-62.97,1007.8,11
Stormflow,Diluting,Biweekly,Rating,-25.16,7.17,"-39.21, -11.11",-24.46,-83.01,-2.94,11
Stormflow,Diluting,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Diluting,Monthly,Composite,-27.05,8.57,"-43.85, -10.25",-27.81,-52.97,-7.55,9
Stormflow,Diluting,Monthly,Linear Interpolation,44.78,10.41,"24.38, 65.18",45.75,-17.09,63.03,9
Stormflow,Diluting,Monthly,Rating,-19.14,5.76,"-30.43, -7.85",-18.77,-53.83,-3.37,10
Stormflow,Enriching,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Enriching,Weekly,Composite,-15.29,9.16,"-33.24, 2.66",-16.08,-34.98,24.13,11
Stormflow,Enriching,Weekly,Linear Interpolation,-98.02,0.14,"-98.29, -97.75",-98,-98.61,-97.73,11
Stormflow,Enriching,Weekly,Rating,-15.49,9.29,"-33.7, 2.72",-16.37,-35.32,24.77,11
Stormflow,Enriching,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Enriching,Biweekly,Composite,-16.6,17.92,"-51.72, 18.52",-19.84,-38.5,114.9,6
Stormflow,Enriching,Biweekly,Linear Interpolation,-98.46,0.09,"-98.64, -98.28",-98.47,-98.74,-98.19,15
Stormflow,Enriching,Biweekly,Rating,-17.37,17.97,"-52.59, 17.85",-20.68,-39.96,114.63,6
Stormflow,Enriching,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,Enriching,Monthly,Composite,-52.25,18.09,"-87.71, -16.79",-55.26,-79.22,65.94,9
Stormflow,Enriching,Monthly,Linear Interpolation,-98.87,0.07,"-99.01, -98.73",-98.86,-99.22,-98.72,9
Stormflow,Enriching,Monthly,Rating,-52.77,18.16,"-88.36, -17.18",-55.79,-79.8,66.08,9
Stormflow,No-Pattern,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,No-Pattern,Weekly,Composite,-0.64,10.72,"-21.65, 20.37",-0.19,-34.18,32.04,12
Stormflow,No-Pattern,Weekly,Linear Interpolation,-47.68,1.82,"-51.25, -44.11",-47.59,-53.71,-42.21,7
Stormflow,No-Pattern,Weekly,Rating,-4,10.25,"-24.09, 16.09",-3.78,-35.68,26.72,5
Stormflow,No-Pattern,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,No-Pattern,Biweekly,Composite,2.36,17.84,"-32.61, 37.33",0.18,-34.61,46.43,5
Stormflow,No-Pattern,Biweekly,Linear Interpolation,-54.87,2.35,"-59.48, -50.26",-55,-61.39,-47.14,13
Stormflow,No-Pattern,Biweekly,Rating,-0.62,17.38,"-34.68, 33.44",-3.68,-36.45,42.6,3
Stormflow,No-Pattern,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Stormflow,No-Pattern,Monthly,Composite,8.84,33.63,"-57.07, 74.75",0.76,-54.39,118.05,4
Stormflow,No-Pattern,Monthly,Linear Interpolation,-60.58,2.87,"-66.21, -54.95",-60.48,-67.32,-51.7,7
Stormflow,No-Pattern,Monthly,Rating,5.98,32.41,"-57.54, 69.5",-2.94,-53.42,113.67,3
Unaltered,Chemostatic,Weekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Unaltered,Chemostatic,Weekly,Composite,-0.08,1.13,"-2.29, 2.13",-0,-2.54,2.41,8
Unaltered,Chemostatic,Weekly,Linear Interpolation,-16.66,0.51,"-17.66, -15.66",-16.66,-17.88,-15.55,1
Unaltered,Chemostatic,Weekly,Rating,-0.22,1.06,"-2.3, 1.86",-0.19,-2.25,2.19,1
Unaltered,Chemostatic,Biweekly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Unaltered,Chemostatic,Biweekly,Composite,-0.07,1.91,"-3.81, 3.67",-0.1,-4.79,4.12,9
Unaltered,Chemostatic,Biweekly,Linear Interpolation,-18.33,0.79,"-19.88, -16.78",-18.3,-19.98,-16,3
Unaltered,Chemostatic,Biweekly,Rating,-0.1,1.86,"-3.75, 3.55",-0.09,-5.23,4.13,9
Unaltered,Chemostatic,Monthly,Beale,NA,NA,"NaN, NaN",NA,Inf,-Inf,0
Unaltered,Chemostatic,Monthly,Composite,0.37,3.4,"-6.29, 7.03",0.02,-6.06,7.85,2
Unaltered,Chemostatic,Monthly,Linear Interpolation,-24.02,1.03,"-26.04, -22",-23.92,-26.22,-21.41,8
Unaltered,Chemostatic,Monthly,Rating,0.31,3.28,"-6.12, 6.74",0.09,-6,8.38,3
