method,estimate,flow,cq,runid
pw,14.05318549720227,base,dilution,1
beale,NA,base,dilution,1
rating,11.6779757748944,base,dilution,1
composite,11.680582535641014,base,dilution,1
truth,12.352634812176863,base,dilution,1
pw,35.86118429511814,storm,dilution,1
beale,NA,storm,dilution,1
rating,12.640890578219325,storm,dilution,1
composite,12.398562522959477,storm,dilution,1
truth,18.658495875125535,storm,dilution,1
pw,16.48477306195839,unaltered,dilution,1
beale,NA,unaltered,dilution,1
rating,11.98584611009424,unaltered,dilution,1
composite,12.267841753132057,unaltered,dilution,1
truth,13.579475736930542,unaltered,dilution,1
pw,5.655564525750173,base,enrich,1
beale,NA,base,enrich,1
rating,14.874567192396285,base,enrich,1
composite,14.898442383577912,base,enrich,1
truth,14.163382741960305,base,enrich,1
pw,1.556034570001876,storm,enrich,1
beale,NA,storm,enrich,1
rating,56.58012602362496,storm,enrich,1
composite,56.896628773687894,storm,enrich,1
truth,75.92068830182929,storm,enrich,1
pw,3.948961866339797,unaltered,enrich,1
beale,NA,unaltered,enrich,1
rating,13.296885154640133,unaltered,enrich,1
composite,13.337754450185072,unaltered,enrich,1
truth,13.797876653763206,unaltered,enrich,1
pw,13.919216658301748,base,none,1
beale,NA,base,none,1
rating,15.592959056507226,base,none,1
composite,15.799569332391238,base,none,1
truth,15.774905495466037,base,none,1
pw,7.2347854592115235,storm,none,1
beale,NA,storm,none,1
rating,13.580265364178029,storm,none,1
composite,13.851770222069282,storm,none,1
truth,13.7541617106583,storm,none,1
pw,11.393118234894953,unaltered,none,1
beale,NA,unaltered,none,1
rating,13.381976298622327,unaltered,none,1
composite,13.55806128943847,unaltered,none,1
truth,13.540550864807122,unaltered,none,1
pw,13.741308634146305,base,chemostatic,1
beale,NA,base,chemostatic,1
rating,15.50267767882291,base,chemostatic,1
composite,15.520887242467948,base,chemostatic,1
truth,15.75361874363825,base,chemostatic,1
pw,7.142314279414981,storm,chemostatic,1
beale,NA,storm,chemostatic,1
rating,13.171134895329535,storm,chemostatic,1
composite,13.176323495979878,storm,chemostatic,1
truth,13.722072054332692,storm,chemostatic,1
pw,11.247497457239293,unaltered,chemostatic,1
beale,NA,unaltered,chemostatic,1
rating,13.2608992733248,unaltered,chemostatic,1
composite,13.275575446702467,unaltered,chemostatic,1
truth,13.522092538290613,unaltered,chemostatic,1
pw,14.791184611975686,base,dilution,2
beale,NA,base,dilution,2
rating,11.608818083145362,base,dilution,2
composite,11.52182006720485,base,dilution,2
truth,12.312278704033075,base,dilution,2
pw,33.22270764845295,storm,dilution,2
beale,NA,storm,dilution,2
rating,12.519297745167618,storm,dilution,2
composite,12.162701238552957,storm,dilution,2
truth,18.9316347337048,storm,dilution,2
pw,15.875756890933257,unaltered,dilution,2
beale,NA,unaltered,dilution,2
rating,11.950031221377218,unaltered,dilution,2
composite,12.102739311954833,unaltered,dilution,2
truth,13.796343853689859,unaltered,dilution,2
pw,6.328196450228035,base,enrich,2
beale,NA,base,enrich,2
rating,13.772841531775795,base,enrich,2
composite,13.801982712122976,base,enrich,2
truth,14.01142559227763,base,enrich,2
pw,1.4554837913383345,storm,enrich,2
beale,NA,storm,enrich,2
rating,60.72767014160397,storm,enrich,2
composite,60.82794988499314,storm,enrich,2
truth,74.63302732402056,storm,enrich,2
pw,3.8017054431555484,unaltered,enrich,2
beale,NA,unaltered,enrich,2
rating,13.16050347211136,unaltered,enrich,2
composite,13.135233123290254,unaltered,enrich,2
truth,13.686016854805606,unaltered,enrich,2
pw,13.8950121529741,base,none,2
beale,NA,base,none,2
rating,16.35712654648733,base,none,2
composite,16.84947450413129,base,none,2
truth,15.702374046152164,base,none,2
pw,7.219764672622485,storm,none,2
beale,NA,storm,none,2
rating,15.585933360500785,storm,none,2
composite,15.759836459172226,storm,none,2
truth,13.657415632027135,storm,none,2
pw,11.388958857644694,unaltered,none,2
beale,NA,unaltered,none,2
rating,14.268025135973815,unaltered,none,2
composite,14.687583292913223,unaltered,none,2
truth,13.513641051751696,unaltered,none,2
pw,13.725277891632327,base,chemostatic,2
beale,NA,base,chemostatic,2
rating,15.920748079116146,base,chemostatic,2
composite,15.974104416122577,base,chemostatic,2
truth,15.717025931101539,base,chemostatic,2
pw,7.131571772157356,storm,chemostatic,2
beale,NA,storm,chemostatic,2
rating,14.199117574191755,storm,chemostatic,2
composite,14.2770496216378,storm,chemostatic,2
truth,13.728721006682212,storm,chemostatic,2
pw,11.249837243509194,unaltered,chemostatic,2
beale,NA,unaltered,chemostatic,2
rating,13.759020291875018,unaltered,chemostatic,2
composite,13.803340713414665,unaltered,chemostatic,2
truth,13.531843693615633,unaltered,chemostatic,2
pw,14.768271494200238,base,dilution,3
beale,NA,base,dilution,3
rating,11.882444545732088,base,dilution,3
composite,11.84138363220038,base,dilution,3
truth,12.416317371413985,base,dilution,3
pw,34.155013739695164,storm,dilution,3
beale,NA,storm,dilution,3
rating,12.71062249117076,storm,dilution,3
composite,12.441394416285156,storm,dilution,3
truth,17.618743564984605,storm,dilution,3
pw,16.203176487521805,unaltered,dilution,3
beale,NA,unaltered,dilution,3
rating,12.143337104218842,unaltered,dilution,3
composite,12.23827604130877,unaltered,dilution,3
truth,13.424794519153911,unaltered,dilution,3
pw,6.178756153469589,base,enrich,3
beale,NA,base,enrich,3
rating,13.592319607884004,base,enrich,3
composite,13.635861554465798,base,enrich,3
truth,13.330294052828345,base,enrich,3
pw,1.525128805599151,storm,enrich,3
beale,NA,storm,enrich,3
rating,63.17723745834423,storm,enrich,3
composite,63.188359111078526,storm,enrich,3
truth,73.40741356702627,storm,enrich,3
pw,3.934178618434348,unaltered,enrich,3
beale,NA,unaltered,enrich,3
rating,13.803663365334335,unaltered,enrich,3
composite,13.739811700817354,unaltered,enrich,3
truth,13.67193402031976,unaltered,enrich,3
pw,13.90229038370848,base,none,3
beale,NA,base,none,3
rating,14.404493712173336,base,none,3
composite,14.790348651580333,base,none,3
truth,15.655417365134928,base,none,3
pw,7.21412945346879,storm,none,3
beale,NA,storm,none,3
rating,11.61219341043756,storm,none,3
